SQLDATE,EventCode,QuadClass,GoldsteinScale,AvgTone,NumArticles,ActionGeo_CountryCode,NumMentions,Contains14sub,Contains14
20160222,180,4,-9.0,-6.19658119658119,2,HK,2,1,0
20160223,186,4,-10.0,-6.122448921203613,10,HK,10,1,0
20160224,1821,4,-9.0,-8.461538314819336,10,HK,10,1,0
20160225,1821,4,-9.0,-8.136483192443848,20,HK,20,1,1
20160226,1821,4,-9.0,-8.136483192443848,10,HK,10,1,0
20160227,1822,4,-9.0,-5.872844696044922,10,HK,10,1,0
20160228,1821,4,-9.0,-8.136483192443848,10,HK,10,1,0
20160229,181,4,-9.0,-4.3071160316467285,2,HK,2,1,0
20160301,1823,4,-10.0,-7.0652174949646,6,HK,6,1,0
20160302,181,4,-9.0,-1.31795716639209,3,HK,3,1,0
20160303,181,4,-9.0,-3.93996247654785,1,HK,1,1,0
20160304,181,4,-9.0,-3.81861575178998,4,HK,4,1,0
20160305,181,4,-9.0,-4.25531914893617,4,HK,4,1,0
20160307,181,4,-9.0,-4.97925311203319,18,HK,18,1,1
20160309,180,4,-9.0,-0.87463556851312,4,HK,4,1,0
20160311,182,4,-9.5,-5.57491289198606,2,HK,2,1,0
20160313,1822,4,-9.0,-4.76190476190477,4,HK,4,1,0
20160314,1831,4,-10.0,-8.42696629213483,7,HK,7,1,0
20160316,1821,4,-9.0,-3.91566265060241,4,HK,4,1,0
20160317,1821,4,-9.0,-5.55555555555556,6,HK,6,1,0
20160318,182,4,-9.5,-5.82278481012658,1,HK,1,1,0
20160319,181,4,-9.0,-5.21126760563381,4,HK,4,1,0
20160320,181,4,-9.0,-3.57142857142857,2,HK,2,1,0
20160321,181,4,-9.0,-2.20820189274447,2,HK,2,1,0
20160322,186,4,-10.0,-5.76923076923077,5,HK,5,1,0
20160323,181,4,-9.0,-3.65448504983388,10,HK,10,1,0
20160324,181,4,-9.0,-5.51301684532925,4,HK,4,1,0
20160325,181,4,-9.0,-2.3696682464455,10,HK,10,1,0
20160328,181,4,-9.0,-5.83804143126177,2,HK,2,1,0
20160329,181,4,-9.0,3.52941176470588,10,HK,10,1,0
20160330,186,4,-10.0,-0.38240917782027,2,HK,2,1,0
20160331,182,4,-9.5,0.0,2,HK,2,1,0
20160402,1821,4,-9.0,-10.6145251396648,2,HK,2,1,0
20160403,1821,4,-9.0,-10.4395604395604,2,HK,2,1,0
20160404,182,4,-9.5,-2.0,10,HK,10,1,0
20160406,181,4,-9.0,-3.86100386100386,1,HK,1,1,0
20160409,181,4,-9.0,-6.17283950617284,2,HK,2,1,0
20160410,180,4,-9.0,-1.99004975124378,2,HK,2,1,0
20160411,181,4,-9.0,-0.53475935828877,2,HK,2,1,0
20160412,1822,4,-9.0,-5.89622641509434,1,HK,1,1,0
20160413,182,4,-9.5,-0.2724795640327,7,HK,7,1,0
20160415,180,4,-9.0,-3.98936170212765,10,HK,10,1,0
20160416,180,4,-9.0,-11.3513513513513,5,HK,5,1,0
20160417,186,4,-10.0,0.66666666666667,1,HK,1,1,0
20160418,181,4,-9.0,-3.18906605922551,10,HK,10,1,0
20160419,180,4,-9.0,-1.68421052631579,10,HK,20,1,1
20160421,181,4,-9.0,-4.81203007518797,8,HK,8,1,0
20160422,1821,4,-9.0,-5.97014925373134,10,HK,10,1,0
20160424,181,4,-9.0,-3.91993327773144,2,HK,2,1,0
20160425,182,4,-9.5,-7.6271186440678,10,HK,10,1,0
20160426,181,4,-9.0,-0.60679611650485,8,HK,8,1,0
20160427,180,4,-9.0,-6.9672131147541,10,HK,10,1,0
20160428,181,4,-9.0,-0.60679611650485,8,HK,8,1,0
20160429,182,4,-9.5,-10.0,4,HK,4,1,0
20160430,186,4,-10.0,-4.96350364963504,8,HK,8,1,0
20160501,180,4,-9.0,-4.67524705982796,12,HK,12,1,1
20160502,181,4,-9.0,-5.77507598784194,1,HK,1,1,0
20160505,1821,4,-9.0,-1.70777988614801,4,HK,4,1,0
20160506,182,4,-9.5,-0.26007802340702,5,HK,5,1,0
20160507,182,4,-9.5,-6.04651162790698,10,HK,10,1,0
20160508,1821,4,-9.0,-6.25,10,HK,10,1,0
20160513,180,4,-9.0,-1.59235668789809,1,HK,1,1,0
20160516,182,4,-9.5,-5.8252427184466,10,HK,10,1,0
20160517,181,4,-9.0,-0.21413276231263,1,HK,1,1,0
20160518,1821,4,-9.0,0.0,10,HK,10,1,0
20160520,186,4,-10.0,1.77966101694915,1,HK,1,1,0
20160523,180,4,-9.0,-4.96894409937888,2,HK,2,1,0
20160525,181,4,-9.0,-4.40414507772021,2,HK,2,1,0
20160526,181,4,-9.0,-5.84192439862543,2,HK,2,1,0
20160527,182,4,-9.5,-2.43243243243243,10,HK,10,1,0
20160528,1821,4,-9.0,-3.63636363636364,5,HK,5,1,0
20160529,1821,4,-9.0,-6.05786618444846,4,HK,4,1,0
20160530,182,4,-9.5,-5.65371024734982,6,HK,6,1,0
20160531,182,4,-9.5,-3.23679727427598,3,HK,3,1,0
20160601,186,4,-10.0,-3.3457249070632,4,HK,4,1,0
20160602,186,4,-10.0,-3.00230946882217,4,HK,4,1,0
20160603,186,4,-10.0,-2.61306532663316,6,HK,6,1,0
20160605,180,4,-9.0,0.41666666666667,1,HK,1,1,0
20160606,1821,4,-9.0,-1.23809523809523,10,HK,10,1,0
20160607,180,4,-9.0,-3.11418685121108,1,HK,1,1,0
20160608,182,4,-9.5,-6.68523676880223,2,HK,2,1,0
20160612,183,4,-10.0,-6.4516129032258,10,HK,10,1,0
20160613,180,4,-9.0,0.54347826086956,10,HK,10,1,0
20160614,1822,4,-9.0,-3.74955953216591,6,HK,6,1,0
20160615,181,4,-9.0,-8.68761552680222,10,HK,10,1,0
20160616,181,4,-9.0,-7.4074074074074,10,HK,10,1,0
20160617,1822,4,-9.0,-4.01301518438178,2,HK,2,1,0
20160618,181,4,-9.0,-4.80427046263345,5,HK,5,1,0
20160621,1831,4,-10.0,-9.06298003072197,1,HK,1,1,0
20160622,1821,4,-9.0,-4.0,5,HK,5,1,0
20160624,1821,4,-9.0,-4.50450450450451,10,HK,10,1,0
20160625,1822,4,-9.0,-3.32512315270936,1,HK,1,1,0
20160626,1822,4,-9.0,-3.48837209302325,1,HK,1,1,0
20160627,181,4,-9.0,-1.1600928074246,8,HK,8,1,0
20160628,181,4,-9.0,-8.24915824915825,2,HK,2,1,0
20160629,180,4,-9.0,-1.14678899082569,2,HK,2,1,0
20160630,1821,4,-9.0,-7.75967380547554,30,HK,30,1,1
20160701,1821,4,-9.0,-7.47066442314079,20,HK,20,1,1
20160702,1821,4,-9.0,-7.62620837808808,10,HK,10,1,0
20160703,1821,4,-9.0,-7.15596330275229,10,HK,10,1,0
20160704,180,4,-9.0,-4.94505494505494,8,HK,8,1,0
20160705,186,4,-10.0,-1.60349854227405,2,HK,2,1,0
20160706,186,4,-10.0,-1.5840220385675,2,HK,2,1,0
20160707,1822,4,-9.0,-8.92857142857143,10,HK,10,1,0
20160711,180,4,-9.0,-4.65116279069767,10,HK,10,1,0
20160713,1822,4,-9.0,-10.077519379845,2,HK,2,1,0
20160714,1823,4,-10.0,-0.63091482649843,10,HK,10,1,0
20160716,180,4,-9.0,-6.44654088050314,7,HK,7,1,0
20160718,180,4,-9.0,-6.59340659340659,10,HK,10,1,0
20160719,182,4,-9.5,-2.71226415094339,10,HK,10,1,0
20160720,1821,4,-9.0,-2.12765957446808,2,HK,2,1,0
20160721,1822,4,-9.0,-11.1111111111111,2,HK,2,1,0
20160723,182,4,-9.5,-1.02564102564103,10,HK,20,1,1
20160725,182,4,-9.5,-1.06951871657754,10,HK,10,1,0
20160726,181,4,-9.0,-2.52525252525252,5,HK,5,1,0
20160727,182,4,-9.5,-4.72813238770685,10,HK,10,1,0
20160728,180,4,-9.0,-8.80398671096345,5,HK,5,1,0
20160729,182,4,-9.5,-11.231884057971,7,HK,7,1,0
20160801,180,4,-9.0,-3.16901408450704,10,HK,10,1,0
20160802,1823,4,-10.0,-0.96153846153846,5,HK,5,1,0
20160804,182,4,-9.5,-3.90143737166325,2,HK,2,1,0
20160805,181,4,-9.0,-3.64656381486676,4,HK,4,1,0
20160808,186,4,-10.0,-3.92857142857143,10,HK,10,1,0
20160809,180,4,-9.0,-1.47058823529411,10,HK,10,1,0
20160810,180,4,-9.0,-5.29801324503311,2,HK,2,1,0
20160813,182,4,-9.5,-7.29927007299271,6,HK,6,1,0
20160814,180,4,-9.0,-4.61095100864553,2,HK,2,1,0
20160815,182,4,-9.5,-6.34517766497462,4,HK,4,1,0
20160816,181,4,-9.0,-3.60824742268042,5,HK,5,1,0
20160818,180,4,-9.0,-8.18181818181818,5,HK,5,1,0
20160819,1822,4,-9.0,-13.4831460674157,8,HK,8,1,0
20160820,1822,4,-9.0,-8.04597701149426,10,HK,20,1,1
20160823,1821,4,-9.0,-1.77777777777777,10,HK,10,1,0
20160825,1822,4,-9.0,-6.67903525046382,5,HK,10,1,0
20160826,1822,4,-9.0,-12.8378378378379,8,HK,8,1,0
20160831,180,4,-9.0,-3.66197183098592,10,HK,10,1,0
20160901,180,4,-9.0,-3.57142857142857,10,HK,20,1,1
20160902,183,4,-10.0,-7.89473684210526,2,HK,2,1,0
20160904,180,4,-9.0,-0.37546933667084,10,HK,20,1,1
20160906,186,4,-10.0,0.37313432835821,2,HK,2,1,0
20160908,180,4,-9.0,-2.66457680250784,2,HK,2,1,0
20160909,1822,4,-9.0,-4.04858299595142,4,HK,4,1,0
20160912,180,4,-9.0,-4.10022779043281,5,HK,5,1,0
20160913,180,4,-9.0,-6.9252077562327,3,HK,3,1,0
20160914,1821,4,-9.0,-5.10752688172043,4,HK,4,1,0
20160915,182,4,-9.5,-0.88945362134689,7,HK,7,1,0
20160916,186,4,-10.0,-0.55096418732782,6,HK,6,1,0
20160917,180,4,-9.0,-4.35684647302905,4,HK,4,1,0
20160918,182,4,-9.5,-8.97959183673471,10,HK,10,1,0
20160919,180,4,-9.0,-11.7378048780487,10,HK,10,1,0
20160922,182,4,-9.5,0.0,2,HK,2,1,0
20160923,182,4,-9.5,-1.69491525423729,5,HK,5,1,0
20160924,181,4,-9.0,-1.5015015015015,10,HK,10,1,0
20160925,186,4,-10.0,0.23809523809523,10,HK,10,1,0
20160927,186,4,-10.0,-4.7191011235955,2,HK,2,1,0
20160930,1821,4,-9.0,-4.97335701598579,4,HK,4,1,0
20161001,1831,4,-10.0,-8.22368421052632,7,HK,7,1,0
20161002,182,4,-9.5,-10.4938271604939,5,HK,5,1,0
