SQLDATE,EventCode,QuadClass,GoldsteinScale,AvgTone,NumArticles,ActionGeo_CountryCode,Contains14sub,Contains14
20150426,141,3,-6.5,-4.54545454545455,6,YM,1,0
20150426,141,3,-6.5,-4.81927710843374,2,FR,1,0
20150427,141,3,-6.5,0.0,6,SP,1,0
20150427,141,3,-6.5,-1.94174757281553,7,YM,1,0
20150427,141,3,-6.5,-1.2987012987013,4,FR,1,0
20150427,141,3,-6.5,-6.3231850117096,8,LE,1,0
20150427,141,3,-6.5,1.29198966408269,10,AG,1,0
20150428,141,3,-6.5,-7.60869565217392,6,FR,1,0
20150428,141,3,-6.5,-7.94979079497908,10,AG,1,0
20150428,141,3,-6.5,-0.54945054945055,10,LE,1,0
20150428,141,3,-6.5,-5.17857142857143,10,YM,1,0
20150428,141,3,-6.5,-1.59453302961276,10,SP,1,0
20150429,141,3,-6.5,-1.51515151515151,4,AG,1,0
20150429,141,3,-6.5,0.96308186195827,1,FR,1,0
20150429,141,3,-6.5,-1.90839694656489,4,YM,1,0
20150429,141,3,-6.5,-4.16,10,SP,1,0
20150429,141,3,-6.5,0.0,4,LE,1,0
20150430,141,3,-6.5,-6.8230277185501,10,SP,1,0
20150430,141,3,-6.5,-9.47533281127645,1,YM,1,0
20150430,141,3,-6.5,-5.32544378698225,10,AG,1,0
20150430,1413,3,-6.5,-1.4908256880734,10,LE,1,0
20150430,141,3,-6.5,-2.30769230769231,10,FR,1,0
20150501,141,3,-6.5,-9.29487179487182,2,YM,1,0
20150501,141,3,-6.5,1.99203187250996,10,SP,1,0
20150501,141,3,-6.5,-3.06306306306307,10,LE,1,0
20150501,141,3,-6.5,-4.91228070175439,10,AG,1,0
20150501,141,3,-6.5,-1.45560407569141,2,FR,1,0
20150502,141,3,-6.5,-6.18279569892473,5,LE,1,0
20150502,141,3,-6.5,-1.46341463414634,10,YM,1,0
20150502,141,3,-6.5,1.02739726027397,10,AG,1,0
20150502,141,3,-6.5,-2.45901639344263,7,SP,1,0
20150502,141,3,-6.5,-9.74155069582501,10,FR,1,0
20150503,141,3,-6.5,-5.52884615384615,10,FR,1,0
20150503,141,3,-6.5,-4.98220640569395,10,AG,1,0
20150503,141,3,-6.5,-2.98507462686567,10,LE,1,0
20150503,141,3,-6.5,-6.35593220338983,8,YM,1,0
20150503,141,3,-6.5,-4.90716180371353,10,SP,1,0
20150504,141,3,-6.5,-4.09463148316651,10,FR,1,0
20150504,141,3,-6.5,0.0,6,SP,1,0
20150504,141,3,-6.5,-7.07070707070707,10,AG,1,0
20150504,141,3,-6.5,-3.77358490566038,10,YM,1,0
20150505,141,3,-6.5,-6.47342995169082,2,FR,1,0
20150505,141,3,-6.5,-4.17737789203085,2,LE,1,0
20150505,141,3,-6.5,0.3976143141153,10,AG,1,0
20150505,141,3,-6.5,-6.81003584229391,4,SP,1,0
20150505,141,3,-6.5,-3.89733840304183,6,YM,1,0
20150506,141,3,-6.5,-3.77073906485671,2,AG,1,0
20150506,141,3,-6.5,-5.79268292682926,10,LE,1,0
20150506,141,3,-6.5,-4.36835891381346,1,YM,1,0
20150506,141,3,-6.5,-6.53061224489796,10,SP,1,0
20150506,141,3,-6.5,0.18691588785047,10,FR,1,0
20150507,141,3,-6.5,-12.280701754386,5,SP,1,0
20150507,141,3,-6.5,-4.7926267281106,2,YM,1,0
20150507,141,3,-6.5,4.58015267175573,10,LE,1,0
20150507,141,3,-6.5,-2.47524752475247,10,FR,1,0
20150507,141,3,-6.5,2.85035629453682,4,AG,1,0
20150508,141,3,-6.5,-5.75916230366492,4,LE,1,0
20150508,141,3,-6.5,-0.61349693251534,2,FR,1,0
20150508,1411,3,-6.5,-9.1872791519435,10,SP,1,0
20150508,141,3,-6.5,-2.99003322259136,8,YM,1,0
20150508,141,3,-6.5,-3.63636363636364,2,AG,1,0
20150509,141,3,-6.5,-6.46976090014065,10,FR,1,0
20150509,141,3,-6.5,-3.88170055452865,8,YM,1,0
20150509,141,3,-6.5,-3.10344827586207,10,AG,1,0
20150509,1411,3,-6.5,-4.86381322957199,2,SP,1,0
20150510,141,3,-6.5,0.78125,4,LE,1,0
20150510,141,3,-6.5,-4.87444608567209,4,FR,1,0
20150510,141,3,-6.5,-4.75624256837098,4,AG,1,0
20150510,141,3,-6.5,-10.188679245283,10,YM,1,0
20150510,141,3,-6.5,-2.84569138276553,2,SP,1,0
20150511,141,3,-6.5,-5.45530843474612,10,AG,1,0
20150511,141,3,-6.5,0.0,10,SP,1,0
20150511,141,3,-6.5,-3.37078651685393,2,YM,1,0
20150511,141,3,-6.5,-0.53475935828877,10,LE,1,0
20150511,141,3,-6.5,-1.329534662868,10,FR,1,0
20150512,141,3,-6.5,-1.16703136396791,5,YM,1,0
20150512,1412,3,-6.5,-4.58015267175573,2,FR,1,0
20150512,141,3,-6.5,0.0,10,AG,1,0
20150512,141,3,-6.5,-7.57575757575757,10,SP,1,0
